"Symbol","Synonym Symbol","Scientific Name with Author","State Common Name","Family","Scientific Name"
"DULIC","","Dulichium Pers.","dulichium","Cyperaceae","Dulichium"
"DYAM","","Dysphania ambrosioides (L.) Mosyakin & Clemants","Mexican tea","Chenopodiaceae","Dysphania ambrosioides"
"DYAM","AMAM6","Ambrina ambrosioides (L.) Spach","","Chenopodiaceae","Ambrina ambrosioides"
"DYAM","CHAM","Chenopodium ambrosioides L.","","Chenopodiaceae","Chenopodium ambrosioides"
"DYAM","CHAME","Chenopodium ambrosioides L. ssp. euambrosioides Aellen","","Chenopodiaceae","Chenopodium ambrosioides ssp. euambrosioides"
"DYAM","CHAMA16","Chenopodium ambrosioides L. var. ambrosioides","","Chenopodiaceae","Chenopodium ambrosioides var. ambrosioides"
"DYAM","CHAMC","Chenopodium ambrosioides L. var. chilense (Schrad.) Speg.","","Chenopodiaceae","Chenopodium ambrosioides var. chilense"
"DYAM","CHAMO2","Chenopodium ambrosioides L. var. obovatum Speg.","","Chenopodiaceae","Chenopodium ambrosioides var. obovatum"
"DYAM","CHAMS","Chenopodium ambrosioides L. var. suffruticosum (Willd.) Asch. & Graebn.","","Chenopodiaceae","Chenopodium ambrosioides var. suffruticosum"
"DYAM","CHAMT","Chenopodium ambrosioides L. var. typicum (Speg.) Aellen","","Chenopodiaceae","Chenopodium ambrosioides var. typicum"
"DYAM","CHAMV","Chenopodium ambrosioides L. var. vagans (Standl.) J.T. Howell","","Chenopodiaceae","Chenopodium ambrosioides var. vagans"
"DYAM","CHOB9","Chenopodium obovatum Moq.","","Chenopodiaceae","Chenopodium obovatum"
"DYAM","CHRE8","Chenopodium retusum Juss. ex Moq.","","Chenopodiaceae","Chenopodium retusum"
"DYAM","TEAM3","Teloxys ambrosioides (L.) W.A. Weber","","Chenopodiaceae","Teloxys ambrosioides"
"DYAM","TEVA","Teloxys vagans (Standl.) W.A. Weber","","Chenopodiaceae","Teloxys vagans"
"DYBO","","Dysphania botrys (L.) Mosyakin & Clemants","Jerusalem oak goosefoot","Chenopodiaceae","Dysphania botrys"
"DYBO","BOBO2","Botrydium botrys (L.) Small","","Chenopodiaceae","Botrydium botrys"
"DYBO","CHBO2","Chenopodium botrys L.","","Chenopodiaceae","Chenopodium botrys"
"DYBO","TEBO2","Teloxys botrys (L.) W.A. Weber","","Chenopodiaceae","Teloxys botrys"
"DYPU","","Dysphania pumilio (R. Br.) Mosyakin & Clemants","clammy goosefoot","Chenopodiaceae","Dysphania pumilio"
"DYPU","CHCA23","Chenopodium carinatum auct. non R. Br.","","Chenopodiaceae","Chenopodium carinatum"
"DYPU","CHPU","Chenopodium pumilio R. Br.","","Chenopodiaceae","Chenopodium pumilio"
"DYPU","TEPU3","Teloxys pumilio (R. Br.) W.A. Weber","","Chenopodiaceae","Teloxys pumilio"
"DYSPH","","Dysphania R. Br.","dysphania","Chenopodiaceae","Dysphania"
"EANI","","Eatonella nivea (D.C. Eaton) A. Gray","white false tickhead","Asteraceae","Eatonella nivea"
"EATON","","Eatonella A. Gray","eatonella","Asteraceae","Eatonella"
"ECCO2","","Echinochloa colona (L.) Link","jungle rice","Poaceae","Echinochloa colona"
"ECCO2","PACO30","Panicum colonum L.","","Poaceae","Panicum colonum"
"ECCR","","Echinochloa crus-galli (L.) P. Beauv.","barnyardgrass","Poaceae","Echinochloa crus-galli"
"ECCR","ECCRS","Echinochloa crus-galli (L.) P. Beauv. ssp. spiralis (Vasinger) Tzvelev","","Poaceae","Echinochloa crus-galli ssp. spiralis"
"ECCR","PACR4","Panicum crus-galli L.","","Poaceae","Panicum crus-galli"
"ECEX","","Echinops exaltatus Schrad.","tall globethistle","Asteraceae","Echinops exaltatus"
"ECEX","ECCO9","Echinops commutatus Jur.","","Asteraceae","Echinops commutatus"
"ECFR","","Echinochloa frumentacea Link","Japanese millet","Poaceae","Echinochloa frumentacea"
"ECFR","ECCRE2","Echinochloa crus-galli (L.) P. Beauv. ssp. edulis Hitchc.","","Poaceae","Echinochloa crus-galli ssp. edulis"
"ECFR","ECCRF","Echinochloa crus-galli (L.) P. Beauv. var. frumentacea (Roxb.) W. Wight","","Poaceae","Echinochloa crus-galli var. frumentacea"
"ECFR","PAFR4","Panicum frumentaceum Roxb., non Salisb.","","Poaceae","Panicum frumentaceum"
"ECHIN4","","Echinochloa P. Beauv.","cockspur grass","Poaceae","Echinochloa"
"ECHIN5","","Echinocystis Torr. & A. Gray","echinocystis","Cucurbitaceae","Echinocystis"
"ECHIN8","","Echinops L.","globethistle","Asteraceae","Echinops"
"ECHIU","","Echium L.","viper's bugloss","Boraginaceae","Echium"
"ECLO","","Echinocystis lobata (Michx.) Torr. & A. Gray","wild cucumber","Cucurbitaceae","Echinocystis lobata"
"ECLO","MILO4","Micrampelis lobata (Michx.) Greene","","Cucurbitaceae","Micrampelis lobata"
"ECLO","SILO8","Sicyos lobata Michx.","","Cucurbitaceae","Sicyos lobata"
"ECMU2","","Echinochloa muricata (P. Beauv.) Fernald","rough barnyardgrass","Poaceae","Echinochloa muricata"
"ECMUM","","Echinochloa muricata (P. Beauv.) Fernald var. microstachya Wiegand","rough barnyardgrass","Poaceae","Echinochloa muricata var. microstachya"
"ECMUM","ECCRM2","Echinochloa crus-galli (L.) P. Beauv. var. mitis (Pursh) Peterm.","","Poaceae","Echinochloa crus-galli var. mitis"
"ECMUM","ECMI","Echinochloa microstachya (Wiegand) Rydb.","","Poaceae","Echinochloa microstachya"
"ECMUM","ECMUM3","Echinochloa muricata (P. Beauv.) Fernald ssp. microstachya (Wiegand) Jauzein","","Poaceae","Echinochloa muricata ssp. microstachya"
"ECMUM","ECMUO","Echinochloa muricata (P. Beauv.) Fernald var. occidentalis Wiegand","","Poaceae","Echinochloa muricata var. occidentalis"
"ECMUM","ECMUW","Echinochloa muricata (P. Beauv.) Fernald var. wiegandii Fassett","","Poaceae","Echinochloa muricata var. wiegandii"
"ECMUM","ECOC","Echinochloa occidentalis (Wiegand) Rydb.","","Poaceae","Echinochloa occidentalis"
"ECMUM","ECPUM","Echinochloa pungens (Poir.) Rydb. var. microstachya (Wiegand) Fernald & Grisc.","","Poaceae","Echinochloa pungens var. microstachya"
"ECMUM","ECPUM2","Echinochloa pungens (Poir.) Rydb. var. multiflora (Wiegand) Fernald & Grisc.","","Poaceae","Echinochloa pungens var. multiflora"
"ECMUM","ECWI3","Echinochloa wiegandii (Fassett) McNeill & Dore","","Poaceae","Echinochloa wiegandii"
"ECMUM2","","Echinochloa muricata (P. Beauv.) Fernald var. muricata","rough barnyardgrass","Poaceae","Echinochloa muricata var. muricata"
"ECMUM2","ECMUL","Echinochloa muricata (P. Beauv.) Fernald var. ludoviciana Wiegand","","Poaceae","Echinochloa muricata var. ludoviciana"
"ECMUM2","ECPU4","Echinochloa pungens (Poir.) Rydb.","","Poaceae","Echinochloa pungens"
"ECMUM2","ECPUC","Echinochloa pungens (Poir.) Rydb. var. coarctata Fernald & Grisc.","","Poaceae","Echinochloa pungens var. coarctata"
"ECMUM2","ECPUL3","Echinochloa pungens (Poir.) Rydb. var. ludoviciana (Wiegand) Fernald & Grisc.","","Poaceae","Echinochloa pungens var. ludoviciana"
"ECRI","","Echinops ritro L.","southern globethistle","Asteraceae","Echinops ritro"
"ECRIR","","Echinops ritro L. ssp. ruthenicus (M. Bieb.) Nyman","southern globethistle","Asteraceae","Echinops ritro ssp. ruthenicus"
"ECRIR","ECRU3","Echinops ruthenicus M. Bieb.","","Asteraceae","Echinops ruthenicus"
"ECSP","","Echinops sphaerocephalus L.","great globethistle","Asteraceae","Echinops sphaerocephalus"
"ECVU","","Echium vulgare L.","common viper's bugloss","Boraginaceae","Echium vulgare"
"EGDE","","Egeria densa Planch.","Brazilian waterweed","Hydrocharitaceae","Egeria densa"
"EGDE","ANDE8","Anacharis densa (Planch.) Vict.","","Hydrocharitaceae","Anacharis densa"
"EGDE","ELDE3","Elodea densa (Planch.) Caspary","","Hydrocharitaceae","Elodea densa"
"EGDE","PHDE5","Philotria densa (Planch.) Small & H. St. John","","Hydrocharitaceae","Philotria densa"
"EGERI","","Egeria Planch.","egeria","Hydrocharitaceae","Egeria"
"EICHH","","Eichhornia Kunth","water hyacinth","Pontederiaceae","Eichhornia"
"EICR","","Eichhornia crassipes (Mart.) Solms","common water hyacinth","Pontederiaceae","Eichhornia crassipes"
"EICR","EISP","Eichhornia speciosa Kunth","","Pontederiaceae","Eichhornia speciosa"
"EICR","PICR2","Piaropus crassipes (Mart.) Raf.","","Pontederiaceae","Piaropus crassipes"
"ELAC","","Eleocharis acicularis (L.) Roem. & Schult.","needle spikerush","Cyperaceae","Eleocharis acicularis"
"ELACA","","Eleocharis acicularis (L.) Roem. & Schult. var. acicularis","needle spikerush","Cyperaceae","Eleocharis acicularis var. acicularis"
"ELACA","ELACG","Eleocharis acicularis (L.) Roem. & Schult. var. gracilescens Svens.","","Cyperaceae","Eleocharis acicularis var. gracilescens"
"ELACA","ELACO","Eleocharis acicularis (L.) Roem. & Schult. var. occidentalis Svens.","","Cyperaceae","Eleocharis acicularis var. occidentalis"
"ELACA","ELACS","Eleocharis acicularis (L.) Roem. & Schult. var. submersa (Hj. Nilss.) Svens.","","Cyperaceae","Eleocharis acicularis var. submersa"
"ELACA","ELACT","Eleocharis acicularis (L.) Roem. & Schult. var. typica Svens.","","Cyperaceae","Eleocharis acicularis var. typica"
"ELAEA","","Elaeagnus L.","oleaster","Elaeagnaceae","Elaeagnus"
"ELAL5","","Elymus alaskanus (Scribn. & Merr.) Á. Löve","Alaskan wheatgrass","Poaceae","Elymus alaskanus"
"ELAL7","","Elymus albicans (Scribn. & J.G. Sm.) Á. Löve","Montana wheatgrass","Poaceae","Elymus albicans"
"ELAL7","AGAL","Agropyron albicans Scribn. & J.G. Sm.","","Poaceae","Agropyron albicans"
"ELAL7","AGALG","Agropyron albicans Scribn. & J.G. Sm. var. griffithsii (Scribn. & J.G. Sm. ex Piper) Beetle","","Poaceae","Agropyron albicans var. griffithsii"
"ELAL7","AGDAA","Agropyron dasystachyum (Hook.) Scribn. & J.G. Sm. ssp. albicans (Scribn. & J.G. Sm.) D.R. Dewey","","Poaceae","Agropyron dasystachyum ssp. albicans"
"ELAL7","AGGR6","Agropyron griffithii Scribn. & J.G. Sm. ex Piper, orth. var.","","Poaceae","Agropyron griffithii orth. var."
"ELAL7","AGGR11","Agropyron griffithsii Scribn. & J.G. Sm. ex Piper","","Poaceae","Agropyron griffithsii"
"ELAL7","ELALG","Elymus albicans (Scribn. & J.G. Sm.) Á. Löve var. griffithsii (Scribn. & J.G. Sm. ex Piper) Dorn","","Poaceae","Elymus albicans var. griffithsii"
"ELAL7","ELGR3","Elymus griffithsii (Scribn. & J.G. Sm. ex Piper) Á. Löve","","Poaceae","Elymus griffithsii"
"ELAL7","ELLAA","Elymus lanceolatus (Scribn. & J.G. Sm.) Gould ssp. albicans (Scribn. & J.G. Sm.) Barkworth & D.R. Dewey","","Poaceae","Elymus lanceolatus ssp. albicans"
"ELAL7","ELDAA","Elytrigia dasystachya (Hook.) Á. Löve & D. Löve ssp. albicans (Scribn. & J.G. Sm.) D.R. Dewey","","Poaceae","Elytrigia dasystachya ssp. albicans"
"ELAL7","ROAL4","Roegneria albicans (Scribn. & J.G. Sm.) Beetle","","Poaceae","Roegneria albicans"
"ELAL7","ROALG","Roegneria albicans (Scribn. & J.G. Sm.) Beetle var. griffithsii (Scribn. & J.G. Sm. ex Piper) Beetle","","Poaceae","Roegneria albicans var. griffithsii"
"ELALL","","Elymus alaskanus (Scribn. & Merr.) Á. Löve ssp. latiglumis (Scribn. & J.G. Sm.) Á. Löve","Alaskan wheatgrass","Poaceae","Elymus alaskanus ssp. latiglumis"
"ELALL","AGLA3","Agropyron latiglume (Scribn. & J.G. Sm.) Rydb.","","Poaceae","Agropyron latiglume"
"ELALL","AGTRL","Agropyron trachycaulum (Link) Malte ex H.F. Lewis var. latiglume (Scribn. & J.G. Sm.) Beetle","","Poaceae","Agropyron trachycaulum var. latiglume"
"ELALL","AGVI3","Agropyron violaceum (Hornem.) Lange","","Poaceae","Agropyron violaceum"
"ELALL","AGVIA","Agropyron violaceum (Hornem.) Lange var. alboviride (Hultén) Melderis","","Poaceae","Agropyron violaceum var. alboviride"
"ELALL","ELTRL","Elymus trachycaulus (Link) Gould ex Shinners ssp. latiglumis (Scribn. & J.G. Sm.) Barkworth & D.R. Dewey","","Poaceae","Elymus trachycaulus ssp. latiglumis"
"ELALL","ELTRV","Elymus trachycaulus (Link) Gould ex Shinners ssp. violaceus (Hornem.) Á. Löve & D. Löve","","Poaceae","Elymus trachycaulus ssp. violaceus"
"ELALL","ELTRL2","Elymus trachycaulus (Link) Gould ex Shinners var. latiglumis (Scribn. & J.G. Sm.) Beetle","","Poaceae","Elymus trachycaulus var. latiglumis"
"ELALL","ELVI11","Elymus violaceus (Hornem.) Böcher ex J. Feilberg","","Poaceae","Elymus violaceus"
"ELALL","ROVI4","Roegneria violacea (Hornem.) Melderis","","Poaceae","Roegneria violacea"
"ELAN","","Elaeagnus angustifolia L.","Russian olive","Elaeagnaceae","Elaeagnus angustifolia"
"ELAN","ELANO2","Elaeagnus angustifolia L. var. orientalis (L.) Kuntze","","Elaeagnaceae","Elaeagnus angustifolia var. orientalis"
"ELAR6","","×Elyleymus aristatus (Merr.) Barkworth & D.R. Dewey [Elymus elymoides × Leymus triticoides]","purple wildrye","Poaceae","×Elyleymus aristatus elymoides triticoides]"
"ELAR6","ELAR10","Elymus aristatus Merr.","","Poaceae","Elymus aristatus"
"ELAR6","ELGLA","Elymus glaucus Buckley var. aristatus (Merr.) Hitchc.","","Poaceae","Elymus glaucus var. aristatus"
"ELAR6","ELAR4","×Elysitanion aristatum (Merr.) Bowden","","Poaceae","×Elysitanion aristatum"
"ELAT","","Eleocharis atropurpurea (Retz.) J. Presl & C. Presl","purple spikerush","Cyperaceae","Eleocharis atropurpurea"
"ELAT","ELMU4","Eleocharis multiflora Chapm.","","Cyperaceae","Eleocharis multiflora"
"ELAT","SCAT5","Scirpus atropurpureus Retz.","","Cyperaceae","Scirpus atropurpureus"
"ELATI","","Elatine L.","waterwort","Elatinaceae","Elatine"
"ELBA3","","Elymus bakeri (E.E. Nelson) Á. Löve","Baker's wheatgrass","Poaceae","Elymus bakeri"
"ELBA3","AGBA2","Agropyron bakeri E.E. Nelson","","Poaceae","Agropyron bakeri"
"ELBA3","AGTRB","Agropyron trachycaulum (Link) Malte ex H.F. Lewis var. bakeri (E.E. Nelson) B. Boivin","","Poaceae","Agropyron trachycaulum var. bakeri"
"ELBA3","ELTRB3","Elymus trachycaulus (Link) Gould ex Shinners ssp. bakeri (E.E. Nelson) Á. Löve","","Poaceae","Elymus trachycaulus ssp. bakeri"
"ELBE","","Eleocharis bella (Piper) Svens.","beautiful spikerush","Cyperaceae","Eleocharis bella"
"ELBE","ELACB","Eleocharis acicularis (L.) Roem. & Schult. var. bella Piper","","Cyperaceae","Eleocharis acicularis var. bella"
"ELBE","ELACM","Eleocharis acicularis (L.) Roem. & Schult. var. minima Torr.","","Cyperaceae","Eleocharis acicularis var. minima"
"ELBR5","","Elatine brachysperma A. Gray","shortseed waterwort","Elatinaceae","Elatine brachysperma"
"ELBR5","ELOB","Elatine obovata (Fassett) H. Mason","","Elatinaceae","Elatine obovata"
"ELBR5","ELTRB2","Elatine triandra Schkuhr var. brachysperma (A. Gray) Fassett","","Elatinaceae","Elatine triandra var. brachysperma"
"ELCA","","Elatine californica A. Gray","California waterwort","Elatinaceae","Elatine californica"
"ELCA","ELCAW2","Elatine californica A. Gray var. williamsii (Rydb.) Fassett","","Elatinaceae","Elatine californica var. williamsii"
"ELCA11","","Elymus caninus (L.) L.","bearded wheatgrass","Poaceae","Elymus caninus"
"ELCA11","AGCA2","Agropyron caninum (L.) P. Beauv.","","Poaceae","Agropyron caninum"
"ELCA11","TRCA18","Triticum caninum L.","","Poaceae","Triticum caninum"
"ELCA24","","Elodea callitrichoides (Rich.) Caspary","South American waterweed","Hydrocharitaceae","Elodea callitrichoides"
"ELCA24","ELER4","Elodea ernstiae H. St. John","","Hydrocharitaceae","Elodea ernstiae"
"ELCA4","","Elymus canadensis L.","Canada wildrye","Poaceae","Elymus canadensis"
"ELCA4","ELBR7","Elymus brachystachys Scribn. & C.R. Ball","","Poaceae","Elymus brachystachys"
"ELCA4","ELCAB2","Elymus canadensis L. var. brachystachys (Scribn. & C.R. Ball) Farw.","","Poaceae","Elymus canadensis var. brachystachys"
"ELCA4","ELCAH","Elymus canadensis L. var. hirsutus (Farw.) Dorn","","Poaceae","Elymus canadensis var. hirsutus"
"ELCA4","ELCAR3","Elymus canadensis L. var. robustus (Scribn. & J.G. Sm.) Mack. & Bush","","Poaceae","Elymus canadensis var. robustus"
"ELCA4","ELCR4","Elymus crescendus L.C. Wheeler","","Poaceae","Elymus crescendus"
"ELCA4","ELPH","Elymus philadelphicus L.","","Poaceae","Elymus philadelphicus"
"ELCA4","ELPHH","Elymus philadelphicus L. var. hirsutus Farw.","","Poaceae","Elymus philadelphicus var. hirsutus"
"ELCA4","ELRO3","Elymus robustus Scribn. & J.G. Sm.","","Poaceae","Elymus robustus"
"ELCA7","","Elodea canadensis Michx.","Canadian waterweed","Hydrocharitaceae","Elodea canadensis"
"ELCA7","ANCA22","Anacharis canadensis (Michx.) Planch.","","Hydrocharitaceae","Anacharis canadensis"
"ELCA7","ANCAP4","Anacharis canadensis (Michx.) Planch. var. planchonii (Caspary) Vict.","","Hydrocharitaceae","Anacharis canadensis var. planchonii"
"ELCA7","ELBR3","Elodea brandegeeae H. St. John","","Hydrocharitaceae","Elodea brandegeeae"
"ELCA7","ELIO3","Elodea ioensis Wylie","","Hydrocharitaceae","Elodea ioensis"
"ELCA7","ELLI","Elodea linearis (Rydb.) H. St. John","","Hydrocharitaceae","Elodea linearis"
"ELCA7","ELPL","Elodea planchonii Caspary","","Hydrocharitaceae","Elodea planchonii"
"ELCA7","PHCA23","Philotria canadensis (Michx.) Britton","","Hydrocharitaceae","Philotria canadensis"
"ELCA7","PHLI10","Philotria linearis Rydb.","","Hydrocharitaceae","Philotria linearis"
"ELCO","","Elaeagnus commutata Bernh. ex Rydb.","silverberry","Elaeagnaceae","Elaeagnus commutata"
"ELCO","ELAR9","Elaeagnus argentea Pursh, non Moench","","Elaeagnaceae","Elaeagnus argentea"
"ELEL4","","Eleocharis elliptica Kunth","elliptic spikerush","Cyperaceae","Eleocharis elliptica"
"ELEL4","ELCAB3","Eleocharis capitata (L.) R. Br. var. borealis Svens.","","Cyperaceae","Eleocharis capitata var. borealis"
"ELEL4","ELCOB","Eleocharis compressa Sull. var. borealis (Svens.) Drapalik & Mohlenbr.","","Cyperaceae","Eleocharis compressa var. borealis"
"ELEL4","ELTEB","Eleocharis tenuis (Willd.) Schult. var. borealis (Svens.) Gleason","","Cyperaceae","Eleocharis tenuis var. borealis"
"ELEL5","","Elymus elymoides (Raf.) Swezey","bottlebrush squirreltail","Poaceae","Elymus elymoides"
"ELELC2","","Elymus elymoides (Raf.) Swezey ssp. californicus (J.G. Sm.) Barkworth","squirreltail","Poaceae","Elymus elymoides ssp. californicus"
"ELELC2","SIHYC","Sitanion hystrix (Nutt.) J.G. Sm. var. californicum (J.G. Sm.) F.D. Wilson","","Poaceae","Sitanion hystrix var. californicum"
"ELELE","","Elymus elymoides (Raf.) Swezey ssp. elymoides","squirreltail","Poaceae","Elymus elymoides ssp. elymoides"
"ELELE","ELSI8","Elymus sitanion Schult.","","Poaceae","Elymus sitanion"
"ELELE","SIEL6","Sitanion elymoides Raf.","","Poaceae","Sitanion elymoides"
"ELELE","SIHY","Sitanion hystrix (Nutt.) J.G. Sm.","","Poaceae","Sitanion hystrix"
"ELELH","","Elymus elymoides (Raf.) Swezey ssp. hordeoides (Suksd.) Barkworth","squirreltail","Poaceae","Elymus elymoides ssp. hordeoides"
"ELELH","ELHO","Elymus hordeoides (Suksd.) Barkworth & D.R. Dewey","","Poaceae","Elymus hordeoides"
"ELELH","SIHO3","Sitanion hordeoides Suksd.","","Poaceae","Sitanion hordeoides"
"ELELH","SIHYH","Sitanion hystrix (Nutt.) J.G. Sm. var. hordeoides (Suksd.) C.L. Hitchc.","","Poaceae","Sitanion hystrix var. hordeoides"
"ELEN","","Eleocharis engelmannii Steud.","Engelmann's spikerush","Cyperaceae","Eleocharis engelmannii"
"ELEN","ELENM","Eleocharis engelmannii Steud. var. monticola (Fernald) Svens.","","Cyperaceae","Eleocharis engelmannii var. monticola"
"ELEN","ELENR","Eleocharis engelmannii Steud. var. robusta Fernald","","Cyperaceae","Eleocharis engelmannii var. robusta"
"ELEN","ELMO7","Eleocharis monticola Fernald","","Cyperaceae","Eleocharis monticola"
"ELEN","ELMOP","Eleocharis monticola Fernald var. pallida H. St. John","","Cyperaceae","Eleocharis monticola var. pallida"
"ELEN","ELOBD","Eleocharis obtusa (Willd.) Schult. var. detonsa (A. Gray) Drapalik & Mohlenbr.","","Cyperaceae","Eleocharis obtusa var. detonsa"
"ELEN","ELOBE","Eleocharis obtusa (Willd.) Schult. var. engelmannii (Steud.) Gilly","","Cyperaceae","Eleocharis obtusa var. engelmannii"
"ELEN","ELOVD","Eleocharis ovata (Roth) Roem. & Schult. var. detonsa (A. Gray) Mohlenbr.","","Cyperaceae","Eleocharis ovata var. detonsa"
"ELEN","ELOVE","Eleocharis ovata (Roth) Roem. & Schult. var. engelmannii (Steud.) Britton","","Cyperaceae","Eleocharis ovata var. engelmannii"
"ELEOC","","Eleocharis R. Br.","spikerush","Cyperaceae","Eleocharis"
"ELGL","","Elymus glaucus Buckley","blue wildrye","Poaceae","Elymus glaucus"
"ELGLG","","Elymus glaucus Buckley ssp. glaucus","blue wildrye","Poaceae","Elymus glaucus ssp. glaucus"
"ELGLG","ELGLB","Elymus glaucus Buckley var. breviaristatus Burtt Davy","","Poaceae","Elymus glaucus var. breviaristatus"
"ELGLJ2","","Elymus glaucus Buckley ssp. jepsonii (Burtt Davy) Gould","Jepson's blue wildrye","Poaceae","Elymus glaucus ssp. jepsonii"
"ELGLJ2","ELGLJ","Elymus glaucus Buckley var. jepsonii Burtt Davy","","Poaceae","Elymus glaucus var. jepsonii"
"ELGLJ2","ELGLT","Elymus glaucus Buckley var. tenuis Vasey","","Poaceae","Elymus glaucus var. tenuis"
"ELGLV","","Elymus glaucus Buckley ssp. virescens (Piper) Gould","Virginia wildrye","Poaceae","Elymus glaucus ssp. virescens"
"ELGLV","ELGLV2","Elymus glaucus Buckley var. virescens (Piper) Bowden","","Poaceae","Elymus glaucus var. virescens"
"ELGLV","ELVI10","Elymus virescens Piper","","Poaceae","Elymus virescens"
"ELHA3","","Elymus ×hansenii Scribn. (pro sp.) [glaucus × elymoides or multisetus]","","Poaceae","Elymus sp.) elymoides or multisetus]"
"ELHA3","ELHA","×Elysitanion hansenii (Scribn.) Bowden","","Poaceae","×Elysitanion hansenii"
"ELHA3","SIAN10","Sitanion anomalum J.G. Sm.","","Poaceae","Sitanion anomalum"
"ELHA3","SIHA7","Sitanion hansenii (Scribn.) J.G. Sm.","","Poaceae","Sitanion hansenii"
"ELHI","","Elymus hirsutus J. Presl","northern ryegrass","Poaceae","Elymus hirsutus"
"ELLA3","","Elymus lanceolatus (Scribn. & J.G. Sm.) Gould","thickspike wheatgrass","Poaceae","Elymus lanceolatus"
"ELLAL","","Elymus lanceolatus (Scribn. & J.G. Sm.) Gould ssp. lanceolatus","thickspike wheatgrass","Poaceae","Elymus lanceolatus ssp. lanceolatus"
"ELLAL","AGDA","Agropyron dasystachyum (Hook.) Scribn. & J.G. Sm.","","Poaceae","Agropyron dasystachyum"
"ELLAL","AGDAR3","Agropyron dasystachyum (Hook.) Scribn. & J.G. Sm. var. riparium (Scribn. & J.G. Sm.) Bowden","","Poaceae","Agropyron dasystachyum var. riparium"
"ELLAL","AGDAR","Agropyron dasystachyum (Hook.) Scribn. & J.G. Sm. var. riparum (Scribn. & J.G. Sm.) Bowden, orth. var.","","Poaceae","Agropyron dasystachyum var. riparum orth. var."
"ELLAL","AGEL2","Agropyron elmeri Scribn.","","Poaceae","Agropyron elmeri"
"ELLAL","AGLA4","Agropyron lanceolatum Scribn. & J.G. Sm.","","Poaceae","Agropyron lanceolatum"
"ELLAL","AGRI5","Agropyron riparium Scribn. & J.G. Sm.","","Poaceae","Agropyron riparium"
"ELLAL","AGRI3","Agropyron riparum Scribn. & J.G. Sm., orth. var.","","Poaceae","Agropyron riparum orth. var."
"ELLAL","ELLAR","Elymus lanceolatus (Scribn. & J.G. Sm.) Gould var. riparius (Scribn. & J.G. Sm.) Dorn","","Poaceae","Elymus lanceolatus var. riparius"
"ELLAL","ELSU5","Elymus subvillosus (Hook.) Gould","","Poaceae","Elymus subvillosus"
"ELLAL","ELDA5","Elytrigia dasystachya (Hook.) Á. Löve & D. Löve","","Poaceae","Elytrigia dasystachya"
"ELLAL","ELRI3","Elytrigia ripara (Scribn. & J.G. Sm.) Beetle, orth. var.","","Poaceae","Elytrigia ripara orth. var."
"ELLAL","ELRI4","Elytrigia riparia (Scribn. & J.G. Sm.) Beetle","","Poaceae","Elytrigia riparia"
"ELLIO","","Elliottia Muhl. ex Elliott","elliottia","Ericaceae","Elliottia"
"ELMA15","","Eleocharis mamillata (Lindb. f.) Lindb. f.","soft-stem spikerush","Cyperaceae","Eleocharis mamillata f.) f."
"ELMA15","SCMA14","Scirpus mamillata Lindb. f.","","Cyperaceae","Scirpus mamillata f."
"ELMA5","","Eleocharis macrostachya Britton","pale spikerush","Cyperaceae","Eleocharis macrostachya"
"ELMA5","ELPE4","Eleocharis perlonga Fernald & Brack.","","Cyperaceae","Eleocharis perlonga"
"ELMA5","ELXY","Eleocharis xyridiformis Fernald & Brack.","","Cyperaceae","Eleocharis xyridiformis"
"ELMA8","","×Elyhordeum macounii (Vasey) Barkworth & D.R. Dewey [Elymus trachycaulus × Hordeum jubatum]","Macoun's barley","Poaceae","×Elyhordeum macounii trachycaulus jubatum]"
"ELMA8","AGMA8","×Agrohordeum macounii (Vasey) Lepage","","Poaceae","×Agrohordeum macounii"
"ELMA8","AGMAV2","×Agrohordeum macounii (Vasey) Lepage var. valencianum Bowden","","Poaceae","×Agrohordeum macounii var. valencianum"
"ELMA8","ELMA9","Elymus macounii Vasey","","Poaceae","Elymus macounii"
"ELMA8","ELMA10","×Elytesion macounii (Vasey) Barkworth & D.R. Dewey","","Poaceae","×Elytesion macounii"
"ELMER","","Elmera Rydb.","coralbells","Saxifragaceae","Elmera"
"ELMU3","","Elymus multisetus M.E. Jones","big squirreltail","Poaceae","Elymus multisetus"
"ELMU3","SIJU","Sitanion jubatum J.G. Sm.","","Poaceae","Sitanion jubatum"
"ELNU2","","Elodea nuttallii (Planch.) H. St. John","western waterweed","Hydrocharitaceae","Elodea nuttallii"
"ELNU2","ANNU7","Anacharis nuttallii Planch.","","Hydrocharitaceae","Anacharis nuttallii"
"ELNU2","ANOC7","Anacharis occidentalis (Pursh) Vict.","","Hydrocharitaceae","Anacharis occidentalis"
"ELNU2","ELCO5","Elodea columbiana H. St. John","","Hydrocharitaceae","Elodea columbiana"
"ELNU2","ELMI5","Elodea minor (Engelm. ex Caspary) Farw.","","Hydrocharitaceae","Elodea minor"
"ELNU2","ELOC","Elodea occidentalis (Pursh) H. St. John","","Hydrocharitaceae","Elodea occidentalis"
"ELNU2","PHAN14","Philotria angustifolia (Muhl.) Britton ex Rydb.","","Hydrocharitaceae","Philotria angustifolia"
"ELNU2","PHMI11","Philotria minor (Engelm. ex Caspary) Small","","Hydrocharitaceae","Philotria minor"
"ELNU2","PHNU","Philotria nuttallii (Planch.) Rydb.","","Hydrocharitaceae","Philotria nuttallii"
