ID	ModifiedOn	Contributors	InformalClassification	Family	TaxonID	TaxonName	SeeAlso	NameRank	Hybrid	TerminalTaxon	Excluded	Peripheral	Waif	Endemic	Extirpated	OriginCode	Origin	Distribution	Voucher	Comments
11	2018-08-15 09:36:00		Vascular Plants: Ferns and Lycophytes	Lycopodiaceae	32450	Dendrolycopodium		genus		N	N	N	N	N	N	N	Native			
12	2009-03-05 08:56:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Lycopodiaceae	32451	Dendrolycopodium dendroideum		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	
13	2018-08-15 09:36:00		Vascular Plants: Ferns and Lycophytes	Lycopodiaceae	32462	Diphasiastrum		genus		N	N	N	N	N	N	N	Native			
14	2009-03-05 08:45:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Lycopodiaceae	32463	Diphasiastrum alpinum		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA2 authors place this taxon in the genus Diphasiastrum, and have the following comment:<br><br>FNA2: "The branchlet leaves of Diphasiastrum alpinum are unique in the genus, and the trowel-shaped underside leaves with their flared and rolled blades and contracted bases are particularly unusual. The leaves of the other North American species are much simpler in shape and contour."
15	2009-03-05 08:47:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Lycopodiaceae	32466	Diphasiastrum alpinum × Diphasiastrum sitchense		species	Unnamed	Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA2: "The hybrid Diphasiastrum alpinum X sitchense is very rare. It is known from Greenland, British Columbia, Newfoundland, Montana, Oregon, and Washington. Specimens of D . sitchense from Greenland, Newfoundland, and Washington cited by J. H. Wilce (1965) are actually this hybrid."
16	2008-10-30 15:32:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Lycopodiaceae	32468	Diphasiastrum complanatum		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	
17	2009-03-05 08:58:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Lycopodiaceae	32506	Diphasiastrum sitchense		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	
18	2018-05-02 22:04:00		Vascular Plants: Ferns and Lycophytes	Lycopodiaceae	32528	Huperzia		genus		N	N	N	N	N	N	N	Native			
19	2017-02-02 12:19:00	David Giblin	Vascular Plants: Ferns and Lycophytes	Lycopodiaceae	32552	Huperzia continentalis		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	Easily confused with Huperzea miyoshiana.  <br><br>Recently (2016) published in Systematic Botany, in which history of name Huperzia haleakelea is explained.
20	2008-10-30 14:10:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Lycopodiaceae	32605	Huperzia miyoshiana		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	Huperzia chinensis is not listed in the 2002 database of all plants names, and the source of this name in KZ99  is unknown
21	2008-10-30 15:26:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Lycopodiaceae	32619	Huperzia occidentalis		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA uses Huperzia occidentalis (Clute) Beitel, but this combination was published in1992, and is a later isonym (identical epithet & same type) of Huperzia occidentalis (Clute) Kartesz & Gandhi (1991)
22	2003-10-21 00:00:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Lycopodiaceae	32682	Lycopodiaceae		family		N	N	N	N	N	N	N	Native			Generic ranking is disputed in the family; here we do not recognize Diphasiastrum, but otherwise tentatively follow FNA, noting that generic differences are so minor that the segregate genera may all be best treated as subgenera within Lycopodium
23	2018-05-02 22:04:00		Vascular Plants: Ferns and Lycophytes	Lycopodiaceae	32684	Lycopodiella		genus		N	N	N	N	N	N	N	Native			
24	2013-02-12 11:47:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Lycopodiaceae	32724	Lycopodiella inundata		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	
25	2018-05-02 22:04:00		Vascular Plants: Ferns and Lycophytes	Lycopodiaceae	32739	Lycopodium	Dendrolycopodium, Diphasiastrum, Huperzia, Lycopodiella, Spinulum	genus		N	N	N	N	N	N	N	Native			
26	2009-03-24 21:46:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Lycopodiaceae	32742	Lycopodium clavatum		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA2: "Plants found in eastern North America have been called Lycopodium clavatum var. clavatum ; those in the western part of the range, which have been called L . clavatum var. integrifolium Goldie, are distinguished by early shedding of the characteristic hairs on the leaf tips."
27	2009-03-10 08:45:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Lycopodiaceae	32755	Lycopodium lagopus		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	
28	2018-08-15 09:36:00		Vascular Plants: Ferns and Lycophytes	Lycopodiaceae	32760	Spinulum		genus		N	N	N	N	N	N	N	Native			
29	2009-03-05 08:51:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Lycopodiaceae	32769	Spinulum annotinum		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA2: "This widespread and common club-moss has been divided into various forms or varieties, some of which have been treated as species. Present evidence supports the hypothesis that these are environmentally induced forms, the most distinctive of which has been called Lycopodium annotinum var. alpestre C. Hartman, with leaves only 2.5--6 mm, very leathery, entire-margined, and appressed. Plants intermediate between this and L . annotinum var. annotinum are a form that has been called var. pungens (Bachelot de la Pylaie) Desvaux, an invalid name. Both are found in cold, bleak, northern or high elevation habitats. The species should be studied in detail to determine whether it contains any groups that should be recognized taxonomically."
30	2018-05-02 22:04:00		Vascular Plants: Ferns and Lycophytes	Selaginellaceae	34094	Selaginella		genus		N	N	N	N	N	N	N	Native			
31	2009-02-27 08:14:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Selaginellaceae	34128	Selaginella douglasii		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA2: "Selaginella douglasii , with no close relatives in the flora, is easy to identify by its shiny green leaves when young, turning shiny light brown when old, with an orange to red spot at the base, or totally reddish. Its closest relative is the Mexican S . delicatissima Linden ex A. Braun."
32	2009-02-27 08:17:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Selaginellaceae	34153	Selaginella oregana		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA2"Pendent on trunks and branches of mossy trees ( Acer macrophyllum Pursh, Populus trichocarpa Torrey & A. Gray ex Hooker, and Alnus rubra Bongard) or on deep-shaded and moist rocky banks; of conservation concern; 0--200 m; B.C.; Calif., Oreg., Wash.<br><br>Selaginella oregana , one of the most distinct species in the flora, is easily distinguished by its usually long, epiphytic-pendent stems, slightly loose strobili, and curled branches (in dry specimens). In the flora, S . oregana is most closely related to S . underwoodii . It is sometimes confused with S . wallacei (see discussion), and it shares some characteristics with the Mexican species, S . extensa L. Underwood. In S . oregana , very often where a branch fork occurs, one of the branches is arrested (R. M. Tryon 1955). The strobili of S . oregana are among the longest in the flora, and they often show several novel features. Very often the apex of a strobilus undergoes a period of vegetative growth, thus becoming a vegetative shoot, and after an interval the apex reverts to the fertile condition, forming a strobilus again. In other cases, the strobilus forks, giving rise to two new strobili."
33	2009-03-16 10:52:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Selaginellaceae	34169	Selaginella scopulorum		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA2: "Selaginella scopulorum is a member of the S . densa complex, in which there is a clear need for more systematic studies. Some specimens of S . scopulorum from Montana, Wyoming, and Colorado have more conspicuous whitish bristles than those elsewhere and are difficult to distinguish from S. densa."
34	2009-02-27 08:21:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Selaginellaceae	34196	Selaginella wallacei		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA2: "Selaginella wallacei is extremely variable depending on its habitat (R. M. Tryon 1955). Plants in dry, exposed conditions have short stems, form compact mats with tightly appressed leaves adnate to the stem, and have a rather keeled, abruptly bristled apex. Plants from moist habitats have long stems, form rather moderately long-creeping mats, and have less appressed, decurrent, fleshy leaves, with a more plane-attenuate apex that gradually tapers into a bristle. Plants from exposed, dry conditions sometimes are confused with S . scopulorum , but they have a keeled apex with well-defined ridges on the abaxial groove whereas in S . scopulorum the leaf apex is Â± plane and attenuate, and the ridges on the abaxial groove are not prominent. Plants from moist habitats somewhat resemble plants of S. underwoodii.<br><br>R. M. Tryon (1955) found strobili 9 cm long in Selaginella wallacei , the longest strobili known within subg. Tetragonostachys and comparable only to those of S. oregana."
35	2003-10-21 00:00:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Selaginellaceae	34203	Selaginellaceae		family		N	N	N	N	N	N	N	Native			
36	2003-10-21 00:00:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Aspleniaceae	30982	Aspleniaceae		family		N	N	N	N	N	N	N	Native			
37	2018-05-02 22:04:00		Vascular Plants: Ferns and Lycophytes	Aspleniaceae	30983	Asplenium		genus		N	N	N	N	N	N	N	Native			
38	2018-08-15 09:36:00		Vascular Plants: Ferns and Lycophytes	Aspleniaceae	31151	Asplenium scolopendrium		species		N	N	N	Y	N	N	I	Introduced			
39	2018-08-15 09:36:00		Vascular Plants: Ferns and Lycophytes	Aspleniaceae	31158	Asplenium scolopendrium var. scolopendrium		infraspecies		Y	N	N	Y	N	N	I	Introduced			
40	2018-05-02 22:04:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Aspleniaceae	31168	Asplenium trichomanes		species		N	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	
41	2008-12-08 08:33:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Aspleniaceae	31171	Asplenium trichomanes ssp. quadrivalens		infraspecies		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	Tetraploid; taxonomy follows FNA Vol. 2, the subspp. were not recognized in H&C.
42	2008-09-18 08:15:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Aspleniaceae	31173	Asplenium trichomanes ssp. trichomanes		infraspecies		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	diploid
43	2017-01-10 16:43:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Aspleniaceae	31192	Asplenium viride		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA2: "Hybridization between Asplenium trichomanes-ramosum and A . trichomanes produces the fertile allotetraploid A . adulterinum , which occurs on Vancouver Island."
44	2018-08-15 09:36:00		Vascular Plants: Ferns and Lycophytes	Athyriaceae	31200	Athyriaceae		family		N	N	N	N	N	N	N	Native			
45	2018-05-02 22:04:00		Vascular Plants: Ferns and Lycophytes	Athyriaceae	31201	Athyrium		genus		N	N	N	N	N	N	N	Native			
46	2018-05-02 22:04:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Athyriaceae	31203	Athyrium distentifolium		species		N	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	
47	2016-05-25 16:19:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Athyriaceae	31208	Athyrium distentifolium ssp. americanum		infraspecies		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	JPM use of (Hoppe) T. Moore as author is incorrect; KZ99 use of (Hoppe) Milde as author is incorrect; A. alpestre (Hoppe) Rylands ex T. Moore is superfluous, coined in 1857, after the 1811 A. alpestre (Hoppe) Clairv.; here we follow FNA <br>The combination Athyrium distentifolium Tausch ex Opiz var. americanum (Butters) was used in 1966 by B. Boivin, but lacking sufficient bibliographic reference to validate it (IM1), so here we use the 1969 combination by Cronquist, following FNA, not KZ99
48	2018-05-02 22:04:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Athyriaceae	31211	Athyrium filix-femina		species		N	N	N	N	N	N	N	Native			
49	2009-03-10 08:54:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Athyriaceae	31231	Athyrium filix-femina ssp. cyclosorum		infraspecies		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA2: "Athyrium filix-femina var. cyclosorum is most similar to the European var. filix-femina ; it differs in having broader, nearly equilateral pinnules and medial to supramedial sori. The variety is distributed in northwestern North America with disjunct populations in northwestern Quebec and Ontario."
50	2003-10-21 00:00:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Blechnaceae	31301	Blechnaceae		family		N	N	N	N	N	N	N	Native			
51	2018-05-02 22:04:00		Vascular Plants: Ferns and Lycophytes	Blechnaceae	31367	Struthiopteris		genus		N	N	N	N	N	N	N	Native			
52	2008-12-08 08:37:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Blechnaceae	31376	Struthiopteris spicant		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	
53	2018-05-02 22:04:00		Vascular Plants: Ferns and Lycophytes	Blechnaceae	31380	Woodwardia		genus		N	N	N	N	N	N	N	Native			
54	2008-12-08 08:37:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Blechnaceae	31385	Woodwardia fimbriata		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FPNW gives authority as Rees, but here we follow FNA Vol. 2 and KZ99 and give the authority as J.E. Smith in Rees
55	2018-08-15 09:36:00		Vascular Plants: Ferns and Lycophytes	Cystopteridaceae	31496	Cystopteridaceae		family		N	N	N	N	N	N	N	Native			
56	2018-05-02 22:04:00		Vascular Plants: Ferns and Lycophytes	Cystopteridaceae	31497	Cystopteris		genus		N	N	N	N	N	N	N	Native			
57	2009-03-10 08:57:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Cystopteridaceae	31504	Cystopteris fragilis		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA2: "Especially in the western portion of its North American range (British Columbia, Washington, Montana, Idaho, Oregon, California), Cystopteris fragilis appears to be developing morphologically and ecologically distinctive variants. Hybrid individuals with aborted spores have been discovered, and plants from these areas increasingly tend to grow on both soil and rock and to have slightly different morphologies on the two substrates. These variants intergrade, however, and are not sufficiently distinct to warrant species status. This polymorphic polyploid is probably actively speciating at the tetraploid level, perhaps through gene silencing (C. R. Werth and M. D. Windham 1991)."
58	2018-05-02 22:04:00		Vascular Plants: Ferns and Lycophytes	Cystopteridaceae	31532	Gymnocarpium		genus		N	N	N	N	N	N	N	Native			
59	2013-09-10 08:41:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Cystopteridaceae	31535	Gymnocarpium brittonianum		species	Named	Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	
60	2009-03-11 09:52:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Cystopteridaceae	31537	Gymnocarpium disjunctum		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	No distinction between Gymnocarpium disjunctum and G. dryopteris was made in our floras until recently.
61	2009-03-11 09:57:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Cystopteridaceae	31543	Gymnocarpium dryopteris		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA2: "Gymnocarpium dryopteris is a fertile allotetraploid species that arose following hybridization between G . appalachianum and G . disjunctum (see reticulogram). Its wide distribution over much of the north temperate zone has provided ample opportunity for secondary contact between G . dryopteris and each of its diploid parents, thereby resulting in a wide-ranging composite of abortive-spored triploid crosses ( G . disjunctum × G . dryopteris and G . appalachianum × G . dryopteris ). These relationships are shown on the diagram. Sterile triploid plants are not restricted only to areas where the range of the tetraploid overlaps with that of either diploid. Their broad distribution could be explained in part by their spores, which are of two types: malformed, black, and with very exaggerated perispores, or round with extensive netted perispores (K. M. Pryer and D. M. Britton 1983). The latter spore type is capable of germination and presumably permits the plants to reproduce apogamously. The name G . × brittonianum (Sarvela) Pryer & Haufler has been applied to the G . disjunctum × G . dryopteris hybrid formula (K. M. Pryer and C. H. Haufler 1993). The type of G . × brittonianum has aborted and round spores, and leaves that strongly resemble those of G . disjunctum . They are large, 3-pinnate-pinnatifid, and the second and third pairs of pinnae are sessile with basal basiscopic pinnules markedly longer than the basal acroscopic pinnules. Sterile triploid plants with a morphology similar to the type of G . × brittonianum are frequent. The biology of both of these cryptic hybrid taxa needs further study, which should lead to detailed morphologic descriptions and distribution maps.<br><br>Gymnocarpium dryopteris also hybridizes with both G . jessoense subsp. parvulum and G . robertianum ."
62	2003-10-21 00:00:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Dennstaedtiaceae	31585	Dennstaedtiaceae		family		N	N	N	N	N	N	N	Native			
63	2018-05-02 22:04:00		Vascular Plants: Ferns and Lycophytes	Dennstaedtiaceae	31610	Pteridium		genus		N	N	N	N	N	N	N	Native			
64	2018-05-02 22:04:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Dennstaedtiaceae	31611	Pteridium aquilinum		species		N	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	
65	2009-03-10 08:48:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Dennstaedtiaceae	31629	Pteridium aquilinum ssp. pubescens		infraspecies		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	We follow FNA and JPM, not recognizing more than one taxon in our area.
66	2003-10-21 00:00:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Dryopteridaceae	31712	Dryopteridaceae		family		N	N	N	N	N	N	N	Native			
67	2018-05-02 22:04:00		Vascular Plants: Ferns and Lycophytes	Dryopteridaceae	31713	Dryopteris		genus		N	N	N	N	N	N	N	Native			
68	2009-03-10 09:00:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Dryopteridaceae	31716	Dryopteris arguta		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA gives authorship as (Kaulf.) Maxon, a 1921 combination; Watt published in 1866.<br><br>FNA2: "Dryopteris arguta is somewhat variable. It has been suggested that more than one taxon is involved. No hybrids involving D . arguta are known."
69	2009-03-11 08:42:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Dryopteridaceae	31730	Dryopteris carthusiana		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	D. austriaca is European.<br><br>FNA2: "Dryopteris carthusiana is tetraploid. Dryopteris intermedia is one parent, as indicated by chromosome pairing in their hybrid D . × triploidea Wherry. The other parent is the hypothetical missing ancestral species " D . semicristata " (see discussion for D . cristata ). Dryopteris carthusiana hybridizes with five species; hybrids can be separated from D . intermedia by the lack of glandular hairs and by having 2-pinnate leaves."
70	2009-03-11 08:45:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Dryopteridaceae	31749	Dryopteris cristata		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	
71	2009-03-11 08:51:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Dryopteridaceae	31758	Dryopteris expansa		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	Dryopteris dilatata is European; no distinction between D. expansa and D. carthusiana was made in our floras until recently.<br><br>FNA2: "Dryopteris expansa is diploid and is one of the parents of D . campyloptera . Where their ranges overlap in eastern Canada, these two species are very difficult to distinguish except by chromosome number. The growth habit ( D . expansa leaves are more erect) is useful in the field. Three hybrids involving D . expansa are known; all are very rare."
72	2009-03-11 08:54:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Dryopteridaceae	31760	Dryopteris filix-mas		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA2: "The taxonomy of Dryopteris filix-mas is not well understood. In North America, this fern has been considered both an auto- and an allopolyploid and may be composed of at least two closely related taxa. Plants in the northeast and northwest are tetraploid. These differ morphologically and ecologically from a taxon of unknown chromosome number in the southwestern Rocky Mountains. The Rocky Mountain taxon closely resembles the Mexican D . pseudofilix-mas (Fée) Rothmaler. Dryopteris filix-mas also occurs in Europe, and it is known to be an allopolyploid of D . caucasica (A. Braun) Fraser-Jenkins & Corley × oreades Fomin."
73	2018-05-02 22:04:00		Vascular Plants: Ferns and Lycophytes	Dryopteridaceae	31911	Polystichum		genus		N	N	N	N	N	N	N	Native			
74	2009-03-11 10:00:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Dryopteridaceae	31918	Polystichum andersonii		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA2: "Polystichum andersonii is an allotetraploid (D. H. Wagner 1979); its diploid parents are P . munitum and P . kwakiutlii . The triploid cross, P . munitum × andersonii , has been analyzed cytologically (W. H. Wagner Jr. 1973). It is the only sterile hybrid in the genus that develops large colonies through vegetative propagation by its bulblets. Hybrids look very much like some of the more deeply incised forms of Polystichum munitum except that they have abundant filiform scales, abortive sori, and nearly triangular lowermost pinnae with Â± equally incised acroscopic and basiscopic auricles."
75	2009-03-11 10:04:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Dryopteridaceae	31930	Polystichum californicum		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	Abrams gives authorship (D.C. Eaton) Underw., a 1900 publ., Diels published the combination in 1899.<br><br>FNA2: "Polystichum californicum is an allopolyploid, the evolutionary roots of which include P . dudleyi as the 2-pinnate ancestor. Morphologic and ecological data indicate P . imbricans is ancestor to the northern forms and P . munitum is ancestor to southern forms, suggesting P . californicum is an amalgam of interfertile tetraploids with polyphyletic origins (D. H. Wagner 1979). Cytological analysis corroborates this (A. D. Callan 1972; W. H. Wagner Jr. 1973), but chloroplast DNA studies have detected only the involvement of P . imbricans in the ancestry of P . californicum (P. S. Soltis et al. 1991).<br><br>The more xeric, rock-inhabiting members of the complex (showing the parental influence of P . imbricans ) occupy the northern half of the range whereas plants of more mesic habitats are found to the south. Hybrids with both P . dudleyi and P . munitum are found frequently, because these three species are often sympatric (W. H. Wagner 1973). The hybrid with P . dudleyi (a triploid) will key to that species. The hybrid with P . munitum resembles a less-incised form of P . californicum with aborted sporangia. Polystichum californicum × imbricans has been found only once, in Oregon (A. D. Callan 1972). Another hybrid that will key here, based on its overall appearance, is P . munitum × scopulinum . It lacks filiform microscales and also has malformed sporangia. Such a specimen was the basis of the report of Polystichum californicum in eastern Washington (C. L. Hitchcock et al. 1955--1969, vol. 1). The sterile diploid hybrid between P . dudleyi and P . munitum is indistinguishable from P . californicum except for aborted sporangia and chromosome number (W. H. Wagner Jr. 1973)."
76	2009-03-13 08:23:00	David Giblin	Vascular Plants: Ferns and Lycophytes	Dryopteridaceae	31931	Polystichum californicum × Polystichum munitum		species	Unnamed	Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	
77	2018-05-02 22:04:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Dryopteridaceae	31940	Polystichum imbricans		species		N	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	
