Abronia
Abronia villosa
Penstemon strictus
Penstemon subglaber
Phacelia
Phleum alpinum
Phalaris
Phalaris arundinacea
Phacelia campanularia
Phlox drummondii
Philadelphus
Philadelphus lewisii
Phleum
Phlox
Phleum pratense
Phacelia tanacetifolia
Pinus albicaulis
Picea
Pinus
Pinus contorta
Pinus contorta var. latifolia
Pinus edulis
Picea engelmannii
Pinus ponderosa
Picea pungens
Pleuraphis
Pleuraphis jamesii
Pleuraphis mutica
Poa
Poa alpina
Populus angustifolia
Populus
Populus balsamifera
Poa compressa
Poa fendleriana
Populus fremontii
Poa glauca
Poa pratensis
Poa secunda
Poa trivialis
Populus tremuloides
Prunus andersonii
Prunus fasciculata
Prosopis juliflora
Prosartes lanuginosa
Prosartes
Prosopis
Prunus
Prunus virginiana
Psathyrostachys
Psilostrophe cooperi
Pseudoroegneria
Pseudotsuga
Psilostrophe
Psathyrostachys juncea
Pseudotsuga menziesii
Pseudoroegneria spicata
Roegneria spicata
Puccinellia
Puccinellia distans
Purshia glandulosa
Purshia mexicana
Purshia
Purshia tridentata
Quercus
Quercus gambelii
Ratibida columnifera
Ratibida pinnata
Ratibida
Rhus
Rhus glabra
Rhus trilobata
Ribes aureum
Ribes
Ribes cereum
Ribes montigenum
Robinia
Rosa
Robinia neomexicana
Rosa nutkana
Rosa woodsii
Rudbeckia
Rudbeckia hirta
Salix
Salvia farinacea
Salix hookeriana
Salsola
Salix lucida
Salvia
Sambucus
Sanguisorba minor
Sanguisorba
Sambucus nigra
Sambucus nigra ssp. cerulea
Sambucus racemosa
Sarcobatus
Salix sitchensis
Sarcobatus vermiculatus
Schoenoplectus acutus
Festuca arundinacea
Schoenoplectus
Scirpus
Schizachyrium
Schoenus
Scirpus microcarpus
Schizachyrium scoparium
Schoenoplectus tabernaemontani
Secale
Secale cereale
Acacia greggii
Setaria italica
Setaria macrostachya
Setaria
Coronilla varia
Shepherdia argentea
Shepherdia canadensis
Shepherdia
Shepherdia rotundifolia
Silene armeria
Sisyrinchium bellum
Silene
Sisyrinchium
Sorghum bicolor
Sorghum bicolor ssp. bicolor
Sorghastrum nutans
Sorghastrum
Sorghum
Solidago speciosa
Sporobolus airoides
Sphaeralcea ambigua
Sporobolus
Sphaeralcea coccinea
Sporobolus cryptandrus
Sporobolus giganteus
Sphaeralcea grossulariifolia
Sphaeralcea
Sphaeralcea munroana
Sphaeralcea parvifolia
Stachys
Stipa
Symphyotrichum
Symphyotrichum novae-angliae
Thymophylla acerosa
Thermopsis divaricarpa
Thermopsis
Thinopyrum intermedium
Thinopyrum
Thermopsis montana
Thinopyrum ponticum
Elytrigia elongata
Thymophylla
Triticum aestivum
Trifolium alexandrinum
Trifolium fragiferum
Trifolium hirtum
Trifolium hybridum
Trifolium
Triticum
Trifolium pratense
Trifolium repens
Trifolium subterraneum
Tsuga
Typha
Typha latifolia
Acacia constricta
Verbena stricta
Viola
Vicia
Viguiera deltoidea
Viguiera
Vicia villosa
Vulpia
Vulpia myuros
Wyethia amplexicaulis
Wyethia

